threshold,r_zero
0.0,0.0
0.05,0.0
0.1,0.0015923566878980893
0.15,0.03927813163481953
0.2,0.06369426751592357
0.25,0.0870488322717622
0.3,0.13641188959660297
0.35,0.31422505307855625
0.4,0.3975583864118896
0.45,0.5063694267515924
0.5,0.5918259023354565
0.55,0.6857749469214437
0.6,0.7579617834394905
0.65,0.8460721868365181
0.7,0.9007430997876857
0.75,0.9384288747346072
0.8,0.9633757961783439
0.85,0.9713375796178344
0.9,0.9840764331210191
0.95,0.9909766454352441
1.0,1.0
