obj,min,max,average
$f_1$,0.0,1.0,0.2074592331213499
$f_2$,0.0,1.0,0.3100622784166152
$f_3$,0.0,1.0,0.08347416292667093
$f_4$,0.0,1.0,0.14561547221284873
$f_5$,0.0,1.0,0.0976565672939649
$f_6$,0.0,1.0,0.13250778580142766
