obj,res,zero,up,down
$f_{1}-f_{2}$,0.06995178685521677,0,0.5,-0.5
$f_{1}-f_{3}$,-0.35327963595794215,0,0.5,-0.5
$f_{1}-f_{4}$,-0.2518916586736162,0,0.5,-0.5
$f_{1}-f_{5}$,-0.09270896577019785,0,0.5,-0.5
$f_{1}-f_{6}$,-0.13491261756901124,0,0.5,-0.5
$f_{2}-f_{3}$,-0.33651117916558193,0,0.5,-0.5
$f_{2}-f_{4}$,-0.20960334480315015,0,0.5,-0.5
$f_{2}-f_{5}$,-0.22004968886684373,0,0.5,-0.5
$f_{2}-f_{6}$,-0.03519947516368179,0,0.5,-0.5
$f_{3}-f_{4}$,0.4052183525404989,0,0.5,-0.5
$f_{3}-f_{5}$,-0.15496878151970458,0,0.5,-0.5
$f_{3}-f_{6}$,0.027427642156562383,0,0.5,-0.5
$f_{4}-f_{5}$,-0.15130571423469505,0,0.5,-0.5
$f_{4}-f_{6}$,0.07863740817680732,0,0.5,-0.5
$f_{5}-f_{6}$,0.03969828755085159,0,0.5,-0.5
