obj,res,zero,up,down
$f_{1}-f_{2}$,-0.21402290632350268,0,0.5,-0.5
$f_{1}-f_{3}$,0.005817300992549006,0,0.5,-0.5
$f_{1}-f_{4}$,-0.04847943494314811,0,0.5,-0.5
$f_{1}-f_{5}$,0.15061519416652255,0,0.5,-0.5
$f_{1}-f_{6}$,-0.11793177572904334,0,0.5,-0.5
$f_{2}-f_{3}$,-0.35795614651418867,0,0.5,-0.5
$f_{2}-f_{4}$,-0.030030900183827917,0,0.5,-0.5
$f_{2}-f_{5}$,-0.4837067931757746,0,0.5,-0.5
$f_{2}-f_{6}$,0.0482001517154298,0,0.5,-0.5
$f_{3}-f_{4}$,0.20832099971182017,0,0.5,-0.5
$f_{3}-f_{5}$,-0.11335797523433043,0,0.5,-0.5
$f_{3}-f_{6}$,-0.12288943207105614,0,0.5,-0.5
$f_{4}-f_{5}$,-0.16052278606293943,0,0.5,-0.5
$f_{4}-f_{6}$,-0.0069936949232371854,0,0.5,-0.5
$f_{5}-f_{6}$,-0.013732323868694376,0,0.5,-0.5
