obj,res,zero,up,down
$f_{1}-f_{2}$,-0.13970324227833522,0,0.5,-0.5
$f_{1}-f_{3}$,-0.08301596296226908,0,0.5,-0.5
$f_{1}-f_{4}$,-0.11033434518344418,0,0.5,-0.5
$f_{1}-f_{5}$,0.09693210606520587,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07838482990742053,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3499973233882337,0,0.5,-0.5
$f_{2}-f_{4}$,0.08270048765804759,0,0.5,-0.5
$f_{2}-f_{5}$,-0.39336350649475543,0,0.5,-0.5
$f_{2}-f_{6}$,0.09916399173022093,0,0.5,-0.5
$f_{3}-f_{4}$,0.21787953600036086,0,0.5,-0.5
$f_{3}-f_{5}$,-0.20218062016220864,0,0.5,-0.5
$f_{3}-f_{6}$,-0.004396149152516548,0,0.5,-0.5
$f_{4}-f_{5}$,-0.36640838922613467,0,0.5,-0.5
$f_{4}-f_{6}$,0.05187786321208202,0,0.5,-0.5
$f_{5}-f_{6}$,-0.13968262601960285,0,0.5,-0.5
