obj,res,zero,up,down
$f_{1}-f_{2}$,-0.014635385272974125,0,0.5,-0.5
$f_{1}-f_{3}$,-0.28099033253649613,0,0.5,-0.5
$f_{1}-f_{4}$,-0.21675767197718793,0,0.5,-0.5
$f_{1}-f_{5}$,-0.004163660174287924,0,0.5,-0.5
$f_{1}-f_{6}$,-0.13698480957376727,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3467188503109751,0,0.5,-0.5
$f_{2}-f_{4}$,-0.22711777130313154,0,0.5,-0.5
$f_{2}-f_{5}$,-0.33585141815357333,0,0.5,-0.5
$f_{2}-f_{6}$,-0.02624481974442422,0,0.5,-0.5
$f_{3}-f_{4}$,0.3771328387364149,0,0.5,-0.5
$f_{3}-f_{5}$,-0.06116891897431166,0,0.5,-0.5
$f_{3}-f_{6}$,0.04673375884400071,0,0.5,-0.5
$f_{4}-f_{5}$,-0.09631587402189826,0,0.5,-0.5
$f_{4}-f_{6}$,0.02349467036805022,0,0.5,-0.5
$f_{5}-f_{6}$,0.00930442729050525,0,0.5,-0.5
