obj,res,zero,up,down
$f_{1}-f_{2}$,-0.06135854251592306,0,0.5,-0.5
$f_{1}-f_{3}$,-0.0824289183415821,0,0.5,-0.5
$f_{1}-f_{4}$,-0.12041942600803485,0,0.5,-0.5
$f_{1}-f_{5}$,-0.01231361030689874,0,0.5,-0.5
$f_{1}-f_{6}$,-0.02519866776681613,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3880319781631708,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2740691759233784,0,0.5,-0.5
$f_{2}-f_{5}$,0.0220366025204595,0,0.5,-0.5
$f_{2}-f_{6}$,-0.20300471857384067,0,0.5,-0.5
$f_{3}-f_{4}$,0.4611329355521431,0,0.5,-0.5
$f_{3}-f_{5}$,-0.1854742902979986,0,0.5,-0.5
$f_{3}-f_{6}$,0.07828071118154045,0,0.5,-0.5
$f_{4}-f_{5}$,-0.4194811176425471,0,0.5,-0.5
$f_{4}-f_{6}$,0.03142155595490194,0,0.5,-0.5
$f_{5}-f_{6}$,-0.028837032609837592,0,0.5,-0.5
