obj,res,zero,up,down
$f_{1}-f_{2}$,-0.0778260862676223,0,0.5,-0.5
$f_{1}-f_{3}$,-0.19027356004498283,0,0.5,-0.5
$f_{1}-f_{4}$,-0.12392474786544641,0,0.5,-0.5
$f_{1}-f_{5}$,-0.0037827167065459413,0,0.5,-0.5
$f_{1}-f_{6}$,-0.0976451416677778,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2762732520253914,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2151254938055678,0,0.5,-0.5
$f_{2}-f_{5}$,-0.06932628317429114,0,0.5,-0.5
$f_{2}-f_{6}$,0.02776106450305302,0,0.5,-0.5
$f_{3}-f_{4}$,0.37519100238485414,0,0.5,-0.5
$f_{3}-f_{5}$,-0.40616221922533874,0,0.5,-0.5
$f_{3}-f_{6}$,-0.04511252628531585,0,0.5,-0.5
$f_{4}-f_{5}$,-0.286840976022422,0,0.5,-0.5
$f_{4}-f_{6}$,0.015067192795818118,0,0.5,-0.5
$f_{5}-f_{6}$,-0.009694003180354486,0,0.5,-0.5
