obj,res,zero,up,down
$f_{1}-f_{2}$,-0.028633520316867278,0,0.5,-0.5
$f_{1}-f_{3}$,-0.31886940562797594,0,0.5,-0.5
$f_{1}-f_{4}$,-0.30758337168386796,0,0.5,-0.5
$f_{1}-f_{5}$,0.23335969743335122,0,0.5,-0.5
$f_{1}-f_{6}$,-0.0383953851572643,0,0.5,-0.5
$f_{2}-f_{3}$,-0.10404631703467812,0,0.5,-0.5
$f_{2}-f_{4}$,-0.30548551153569337,0,0.5,-0.5
$f_{2}-f_{5}$,-0.01140215379727244,0,0.5,-0.5
$f_{2}-f_{6}$,-0.12246284772714965,0,0.5,-0.5
$f_{3}-f_{4}$,0.23889238099476565,0,0.5,-0.5
$f_{3}-f_{5}$,-0.32173379161475046,0,0.5,-0.5
$f_{3}-f_{6}$,-0.09665621504877703,0,0.5,-0.5
$f_{4}-f_{5}$,-0.2975983313069154,0,0.5,-0.5
$f_{4}-f_{6}$,0.013173745452908546,0,0.5,-0.5
$f_{5}-f_{6}$,0.024855395845407312,0,0.5,-0.5
