obj,res,zero,up,down
$f_{1}-f_{2}$,-0.01981844784900968,0,0.5,-0.5
$f_{1}-f_{3}$,-0.4068596692012215,0,0.5,-0.5
$f_{1}-f_{4}$,-0.2928674445147275,0,0.5,-0.5
$f_{1}-f_{5}$,0.06326008955125302,0,0.5,-0.5
$f_{1}-f_{6}$,-0.06580495947809624,0,0.5,-0.5
$f_{2}-f_{3}$,-0.0494527625424606,0,0.5,-0.5
$f_{2}-f_{4}$,-0.24695105641667925,0,0.5,-0.5
$f_{2}-f_{5}$,0.0670196407602427,0,0.5,-0.5
$f_{2}-f_{6}$,-0.05170574387852682,0,0.5,-0.5
$f_{3}-f_{4}$,0.3258210332989352,0,0.5,-0.5
$f_{3}-f_{5}$,-0.2563493929163947,0,0.5,-0.5
$f_{3}-f_{6}$,-0.055025231374622494,0,0.5,-0.5
$f_{4}-f_{5}$,-0.4083743985881365,0,0.5,-0.5
$f_{4}-f_{6}$,0.03470562577539665,0,0.5,-0.5
$f_{5}-f_{6}$,-0.012428816405949328,0,0.5,-0.5
