obj,res,zero,up,down
$f_{1}-f_{2}$,0.0628519074079379,0,0.5,-0.5
$f_{1}-f_{3}$,0.0024944503341948806,0,0.5,-0.5
$f_{1}-f_{4}$,0.008527963516707536,0,0.5,-0.5
$f_{1}-f_{5}$,-0.04409992547513514,0,0.5,-0.5
$f_{1}-f_{6}$,-0.01222155162629096,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3588575838713514,0,0.5,-0.5
$f_{2}-f_{4}$,-0.15956540039887004,0,0.5,-0.5
$f_{2}-f_{5}$,-0.10173175262748342,0,0.5,-0.5
$f_{2}-f_{6}$,0.006603817586470412,0,0.5,-0.5
$f_{3}-f_{4}$,0.5010763612533916,0,0.5,-0.5
$f_{3}-f_{5}$,-0.4456791553449392,0,0.5,-0.5
$f_{3}-f_{6}$,0.001166269323823579,0,0.5,-0.5
$f_{4}-f_{5}$,-0.6229259634802666,0,0.5,-0.5
$f_{4}-f_{6}$,0.047146748299619824,0,0.5,-0.5
$f_{5}-f_{6}$,-0.060069510322301976,0,0.5,-0.5
