obj,res,zero,up,down
$f_{1}-f_{2}$,-0.03734982441156712,0,0.5,-0.5
$f_{1}-f_{3}$,-0.1734641002115853,0,0.5,-0.5
$f_{1}-f_{4}$,-0.14428752400819758,0,0.5,-0.5
$f_{1}-f_{5}$,0.15206617234435046,0,0.5,-0.5
$f_{1}-f_{6}$,-0.0980458618533077,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3160547790336977,0,0.5,-0.5
$f_{2}-f_{4}$,-0.27815159101028647,0,0.5,-0.5
$f_{2}-f_{5}$,-0.08756350438113826,0,0.5,-0.5
$f_{2}-f_{6}$,-0.081943407525299,0,0.5,-0.5
$f_{3}-f_{4}$,0.429227250280514,0,0.5,-0.5
$f_{3}-f_{5}$,-0.37776065268353887,0,0.5,-0.5
$f_{3}-f_{6}$,-0.029989072670703807,0,0.5,-0.5
$f_{4}-f_{5}$,-0.35718958880740886,0,0.5,-0.5
$f_{4}-f_{6}$,0.0292824080505643,0,0.5,-0.5
$f_{5}-f_{6}$,-0.020407688236297575,0,0.5,-0.5
