obj,res,zero,up,down
$f_{1}-f_{2}$,-0.10291898888000445,0,0.5,-0.5
$f_{1}-f_{3}$,-0.30367758715605686,0,0.5,-0.5
$f_{1}-f_{4}$,-0.07696032688713358,0,0.5,-0.5
$f_{1}-f_{5}$,-0.07222573121929468,0,0.5,-0.5
$f_{1}-f_{6}$,0.015167486456737114,0,0.5,-0.5
$f_{2}-f_{3}$,-0.30273242761211605,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2449928945035275,0,0.5,-0.5
$f_{2}-f_{5}$,-0.04827129408521227,0,0.5,-0.5
$f_{2}-f_{6}$,-0.04521266377203217,0,0.5,-0.5
$f_{3}-f_{4}$,0.3073752672759745,0,0.5,-0.5
$f_{3}-f_{5}$,-0.2233835015230724,0,0.5,-0.5
$f_{3}-f_{6}$,0.04885430470962456,0,0.5,-0.5
$f_{4}-f_{5}$,-0.21556016974234474,0,0.5,-0.5
$f_{4}-f_{6}$,-0.0012524443029569056,0,0.5,-0.5
$f_{5}-f_{6}$,-0.117499522630316,0,0.5,-0.5
