obj,res,zero,up,down
$f_{1}-f_{2}$,-0.012837165240318856,0,0.5,-0.5
$f_{1}-f_{3}$,-0.11885281178761709,0,0.5,-0.5
$f_{1}-f_{4}$,-0.05274366825446245,0,0.5,-0.5
$f_{1}-f_{5}$,-0.06352482468441355,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07945653260807851,0,0.5,-0.5
$f_{2}-f_{3}$,-0.24199359078477792,0,0.5,-0.5
$f_{2}-f_{4}$,-0.15960607377572514,0,0.5,-0.5
$f_{2}-f_{5}$,-0.07303098191331288,0,0.5,-0.5
$f_{2}-f_{6}$,-0.19592809234830624,0,0.5,-0.5
$f_{3}-f_{4}$,0.5043509225455585,0,0.5,-0.5
$f_{3}-f_{5}$,-0.20212355958900965,0,0.5,-0.5
$f_{3}-f_{6}$,0.05624836359994719,0,0.5,-0.5
$f_{4}-f_{5}$,-0.4073699601733597,0,0.5,-0.5
$f_{4}-f_{6}$,-0.020222359307611473,0,0.5,-0.5
$f_{5}-f_{6}$,0.031731168333679165,0,0.5,-0.5
