obj,res,zero,up,down
$f_{1}-f_{2}$,-0.13798976068403154,0,0.5,-0.5
$f_{1}-f_{3}$,-0.03344797383669877,0,0.5,-0.5
$f_{1}-f_{4}$,-0.036122958500916014,0,0.5,-0.5
$f_{1}-f_{5}$,0.15290614452435708,0,0.5,-0.5
$f_{1}-f_{6}$,-0.11088849981667155,0,0.5,-0.5
$f_{2}-f_{3}$,-0.40892146579432953,0,0.5,-0.5
$f_{2}-f_{4}$,-0.041360029060181026,0,0.5,-0.5
$f_{2}-f_{5}$,-0.46185826408040614,0,0.5,-0.5
$f_{2}-f_{6}$,0.07700920857364292,0,0.5,-0.5
$f_{3}-f_{4}$,0.1992449390978442,0,0.5,-0.5
$f_{3}-f_{5}$,-0.0969380639542608,0,0.5,-0.5
$f_{3}-f_{6}$,-0.0761780752249196,0,0.5,-0.5
$f_{4}-f_{5}$,-0.15166034256959013,0,0.5,-0.5
$f_{4}-f_{6}$,-0.019911716497872645,0,0.5,-0.5
$f_{5}-f_{6}$,-0.0961630255689222,0,0.5,-0.5
