obj,res,zero,up,down
$f_{1}-f_{2}$,-0.05430348812346986,0,0.5,-0.5
$f_{1}-f_{3}$,-0.23854607360311278,0,0.5,-0.5
$f_{1}-f_{4}$,-0.21369353261340346,0,0.5,-0.5
$f_{1}-f_{5}$,0.01207396095898935,0,0.5,-0.5
$f_{1}-f_{6}$,-0.0982965273215001,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2623758446961104,0,0.5,-0.5
$f_{2}-f_{4}$,-0.17830565117884278,0,0.5,-0.5
$f_{2}-f_{5}$,-0.03892381349487749,0,0.5,-0.5
$f_{2}-f_{6}$,0.005346550586865675,0,0.5,-0.5
$f_{3}-f_{4}$,0.3624080390845827,0,0.5,-0.5
$f_{3}-f_{5}$,-0.37025599768227124,0,0.5,-0.5
$f_{3}-f_{6}$,-0.06917286199090993,0,0.5,-0.5
$f_{4}-f_{5}$,-0.3881592839245562,0,0.5,-0.5
$f_{4}-f_{6}$,0.005355366369623365,0,0.5,-0.5
$f_{5}-f_{6}$,0.026534097364195694,0,0.5,-0.5
