obj,res,zero,up,down
$f_{1}-f_{2}$,-0.08951710759209014,0,0.5,-0.5
$f_{1}-f_{3}$,-0.25854816800948854,0,0.5,-0.5
$f_{1}-f_{4}$,-0.18115354728536054,0,0.5,-0.5
$f_{1}-f_{5}$,-0.013411049276792663,0,0.5,-0.5
$f_{1}-f_{6}$,-0.10139237525120279,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2160082521391953,0,0.5,-0.5
$f_{2}-f_{4}$,-0.16166607629512555,0,0.5,-0.5
$f_{2}-f_{5}$,-0.0683123267873281,0,0.5,-0.5
$f_{2}-f_{6}$,0.015092190703429546,0,0.5,-0.5
$f_{3}-f_{4}$,0.43050314456534494,0,0.5,-0.5
$f_{3}-f_{5}$,-0.40324492736713197,0,0.5,-0.5
$f_{3}-f_{6}$,-0.07667755091281199,0,0.5,-0.5
$f_{4}-f_{5}$,-0.35589886856704445,0,0.5,-0.5
$f_{4}-f_{6}$,0.01859271043885455,0,0.5,-0.5
$f_{5}-f_{6}$,0.022206847654169654,0,0.5,-0.5
