obj,res,zero,up,down
$f_{1}-f_{2}$,-0.011649989754028122,0,0.5,-0.5
$f_{1}-f_{3}$,-0.053581955947021344,0,0.5,-0.5
$f_{1}-f_{4}$,-0.05360928349408381,0,0.5,-0.5
$f_{1}-f_{5}$,-0.054454307194200954,0,0.5,-0.5
$f_{1}-f_{6}$,-0.059296461160083365,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3855625098780335,0,0.5,-0.5
$f_{2}-f_{4}$,-0.25968436632961045,0,0.5,-0.5
$f_{2}-f_{5}$,-0.030502519897962856,0,0.5,-0.5
$f_{2}-f_{6}$,-0.179866978725448,0,0.5,-0.5
$f_{3}-f_{4}$,0.48406277805284037,0,0.5,-0.5
$f_{3}-f_{5}$,-0.14521448362157136,0,0.5,-0.5
$f_{3}-f_{6}$,0.1350997121657134,0,0.5,-0.5
$f_{4}-f_{5}$,-0.37040742213069827,0,0.5,-0.5
$f_{4}-f_{6}$,0.03332218931623586,0,0.5,-0.5
$f_{5}-f_{6}$,-0.0014470964342282071,0,0.5,-0.5
