obj,res,zero,up,down
$f_{1}-f_{2}$,-0.20278844036797725,0,0.5,-0.5
$f_{1}-f_{3}$,0.03444978512940839,0,0.5,-0.5
$f_{1}-f_{4}$,-0.06258126148959052,0,0.5,-0.5
$f_{1}-f_{5}$,0.098290733162135,0,0.5,-0.5
$f_{1}-f_{6}$,-0.1487889958703833,0,0.5,-0.5
$f_{2}-f_{3}$,-0.47555905394798037,0,0.5,-0.5
$f_{2}-f_{4}$,0.05091144190583669,0,0.5,-0.5
$f_{2}-f_{5}$,-0.40246132279731894,0,0.5,-0.5
$f_{2}-f_{6}$,0.1604224415456252,0,0.5,-0.5
$f_{3}-f_{4}$,0.13520601539543675,0,0.5,-0.5
$f_{3}-f_{5}$,-0.10206828952339692,0,0.5,-0.5
$f_{3}-f_{6}$,-0.1839233476104654,0,0.5,-0.5
$f_{4}-f_{5}$,-0.22166117746400443,0,0.5,-0.5
$f_{4}-f_{6}$,0.012804849364524563,0,0.5,-0.5
$f_{5}-f_{6}$,0.029919124114268426,0,0.5,-0.5
