obj,res,zero,up,down
$f_{1}-f_{2}$,0.018655170904412002,0,0.5,-0.5
$f_{1}-f_{3}$,-0.03416272689213577,0,0.5,-0.5
$f_{1}-f_{4}$,0.007780974251183474,0,0.5,-0.5
$f_{1}-f_{5}$,0.0008153174473263975,0,0.5,-0.5
$f_{1}-f_{6}$,-0.05267775410475739,0,0.5,-0.5
$f_{2}-f_{3}$,-0.3198873104350603,0,0.5,-0.5
$f_{2}-f_{4}$,-0.10535738330058325,0,0.5,-0.5
$f_{2}-f_{5}$,-0.1186600011901472,0,0.5,-0.5
$f_{2}-f_{6}$,0.03765498753509217,0,0.5,-0.5
$f_{3}-f_{4}$,0.5065369951996008,0,0.5,-0.5
$f_{3}-f_{5}$,-0.46725124976546406,0,0.5,-0.5
$f_{3}-f_{6}$,-0.11698058850509749,0,0.5,-0.5
$f_{4}-f_{5}$,-0.5938488194791,0,0.5,-0.5
$f_{4}-f_{6}$,-0.057311758842682185,0,0.5,-0.5
$f_{5}-f_{6}$,0.02685129300352676,0,0.5,-0.5
