obj,res,zero,up,down
$f_{1}-f_{2}$,0.03322773563970626,0,0.5,-0.5
$f_{1}-f_{3}$,-0.3227456510850641,0,0.5,-0.5
$f_{1}-f_{4}$,-0.2116221151519225,0,0.5,-0.5
$f_{1}-f_{5}$,-0.010582064552601706,0,0.5,-0.5
$f_{1}-f_{6}$,-0.042936115274422114,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2533864561956973,0,0.5,-0.5
$f_{2}-f_{4}$,-0.15507322194746342,0,0.5,-0.5
$f_{2}-f_{5}$,-0.08732490446224242,0,0.5,-0.5
$f_{2}-f_{6}$,-0.036402321672371056,0,0.5,-0.5
$f_{3}-f_{4}$,0.30664522646315057,0,0.5,-0.5
$f_{3}-f_{5}$,-0.24178179079852474,0,0.5,-0.5
$f_{3}-f_{6}$,-0.004997004105378784,0,0.5,-0.5
$f_{4}-f_{5}$,-0.43261470921516154,0,0.5,-0.5
$f_{4}-f_{6}$,0.042583148801921024,0,0.5,-0.5
$f_{5}-f_{6}$,-0.07756328853327572,0,0.5,-0.5
