obj,res,zero,up,down
$f_{1}-f_{2}$,-0.17608588941385223,0,0.5,-0.5
$f_{1}-f_{3}$,-0.011392400344457642,0,0.5,-0.5
$f_{1}-f_{4}$,-0.009623820419136307,0,0.5,-0.5
$f_{1}-f_{5}$,0.0860651064395134,0,0.5,-0.5
$f_{1}-f_{6}$,-0.08839004343825999,0,0.5,-0.5
$f_{2}-f_{3}$,-0.5457743376691335,0,0.5,-0.5
$f_{2}-f_{4}$,-0.298090935021885,0,0.5,-0.5
$f_{2}-f_{5}$,-0.532178027059056,0,0.5,-0.5
$f_{2}-f_{6}$,-0.10664924905699684,0,0.5,-0.5
$f_{3}-f_{4}$,0.38532516991875976,0,0.5,-0.5
$f_{3}-f_{5}$,0.1438120217766779,0,0.5,-0.5
$f_{3}-f_{6}$,0.1460354795076657,0,0.5,-0.5
$f_{4}-f_{5}$,0.07623890565121212,0,0.5,-0.5
$f_{4}-f_{6}$,0.06070213896482966,0,0.5,-0.5
$f_{5}-f_{6}$,0.042380379825985186,0,0.5,-0.5
