obj,res,zero,up,down
$f_{1}-f_{2}$,-0.056271174919509934,0,0.5,-0.5
$f_{1}-f_{3}$,-0.22030063579941409,0,0.5,-0.5
$f_{1}-f_{4}$,-0.20968710971213642,0,0.5,-0.5
$f_{1}-f_{5}$,0.17466499519232162,0,0.5,-0.5
$f_{1}-f_{6}$,-0.05502797425122756,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2644920613549533,0,0.5,-0.5
$f_{2}-f_{4}$,-0.29956725845172505,0,0.5,-0.5
$f_{2}-f_{5}$,-0.07575645377105207,0,0.5,-0.5
$f_{2}-f_{6}$,-0.10153093904130735,0,0.5,-0.5
$f_{3}-f_{4}$,0.4562513142864854,0,0.5,-0.5
$f_{3}-f_{5}$,-0.364718068998756,0,0.5,-0.5
$f_{3}-f_{6}$,-0.12195810787502598,0,0.5,-0.5
$f_{4}-f_{5}$,-0.367783310800898,0,0.5,-0.5
$f_{4}-f_{6}$,-0.03391238682098545,0,0.5,-0.5
$f_{5}-f_{6}$,0.03858263127348348,0,0.5,-0.5
