obj,res,zero,up,down
$f_{1}-f_{2}$,-0.1535118074154015,0,0.5,-0.5
$f_{1}-f_{3}$,-0.011389267008794723,0,0.5,-0.5
$f_{1}-f_{4}$,-0.05437067250730458,0,0.5,-0.5
$f_{1}-f_{5}$,0.09785903218903969,0,0.5,-0.5
$f_{1}-f_{6}$,-0.08063686346706876,0,0.5,-0.5
$f_{2}-f_{3}$,-0.37775467342541147,0,0.5,-0.5
$f_{2}-f_{4}$,0.03673864900028608,0,0.5,-0.5
$f_{2}-f_{5}$,-0.45170602244652286,0,0.5,-0.5
$f_{2}-f_{6}$,0.07666258140407718,0,0.5,-0.5
$f_{3}-f_{4}$,0.18959523925082505,0,0.5,-0.5
$f_{3}-f_{5}$,-0.13681818662996129,0,0.5,-0.5
$f_{3}-f_{6}$,-0.014910850001891053,0,0.5,-0.5
$f_{4}-f_{5}$,-0.24783698055814637,0,0.5,-0.5
$f_{4}-f_{6}$,0.04087838654948456,0,0.5,-0.5
$f_{5}-f_{6}$,-0.13468128368336515,0,0.5,-0.5
