obj,res,zero,up,down
$f_{1}-f_{2}$,-0.04032268973038547,0,0.5,-0.5
$f_{1}-f_{3}$,-0.1606488249836265,0,0.5,-0.5
$f_{1}-f_{4}$,-0.12864308828438353,0,0.5,-0.5
$f_{1}-f_{5}$,0.06304389076969694,0,0.5,-0.5
$f_{1}-f_{6}$,-0.08521406208010555,0,0.5,-0.5
$f_{2}-f_{3}$,-0.32871234944379146,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2602084716348849,0,0.5,-0.5
$f_{2}-f_{5}$,-0.08489302475092478,0,0.5,-0.5
$f_{2}-f_{6}$,-0.020879200099020886,0,0.5,-0.5
$f_{3}-f_{4}$,0.4968093638216227,0,0.5,-0.5
$f_{3}-f_{5}$,-0.4256852578981842,0,0.5,-0.5
$f_{3}-f_{6}$,-0.05260727087656274,0,0.5,-0.5
$f_{4}-f_{5}$,-0.3668448573785883,0,0.5,-0.5
$f_{4}-f_{6}$,-0.013397344702209867,0,0.5,-0.5
$f_{5}-f_{6}$,-0.026203701554377828,0,0.5,-0.5
