obj,res,zero,up,down
$f_{1}-f_{2}$,0.055020158291047165,0,0.5,-0.5
$f_{1}-f_{3}$,-0.06512466179331067,0,0.5,-0.5
$f_{1}-f_{4}$,0.030109404894748882,0,0.5,-0.5
$f_{1}-f_{5}$,-0.03581637440367541,0,0.5,-0.5
$f_{1}-f_{6}$,-0.044895030001984165,0,0.5,-0.5
$f_{2}-f_{3}$,-0.16544972086400528,0,0.5,-0.5
$f_{2}-f_{4}$,0.014339234489915885,0,0.5,-0.5
$f_{2}-f_{5}$,-0.1731246641374633,0,0.5,-0.5
$f_{2}-f_{6}$,0.1040275628100541,0,0.5,-0.5
$f_{3}-f_{4}$,0.34499895038655803,0,0.5,-0.5
$f_{3}-f_{5}$,-0.5849322616455823,0,0.5,-0.5
$f_{3}-f_{6}$,-0.19458869706711637,0,0.5,-0.5
$f_{4}-f_{5}$,-0.49461016541738295,0,0.5,-0.5
$f_{4}-f_{6}$,0.0016514584061993274,0,0.5,-0.5
$f_{5}-f_{6}$,0.08704169312709777,0,0.5,-0.5
