obj,res,zero,up,down
$f_{1}-f_{2}$,-0.0709912376697203,0,0.5,-0.5
$f_{1}-f_{3}$,-0.2592927604955349,0,0.5,-0.5
$f_{1}-f_{4}$,-0.16627001642003789,0,0.5,-0.5
$f_{1}-f_{5}$,0.06252838252934785,0,0.5,-0.5
$f_{1}-f_{6}$,-0.0720019238201217,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2413010852597063,0,0.5,-0.5
$f_{2}-f_{4}$,-0.15727141503890535,0,0.5,-0.5
$f_{2}-f_{5}$,-0.05751109630956028,0,0.5,-0.5
$f_{2}-f_{6}$,-0.019706444131842672,0,0.5,-0.5
$f_{3}-f_{4}$,0.3888825902622527,0,0.5,-0.5
$f_{3}-f_{5}$,-0.4118488658209469,0,0.5,-0.5
$f_{3}-f_{6}$,-0.05963269543733846,0,0.5,-0.5
$f_{4}-f_{5}$,-0.45415266044842156,0,0.5,-0.5
$f_{4}-f_{6}$,0.01076864566321373,0,0.5,-0.5
$f_{5}-f_{6}$,-0.01798368421884206,0,0.5,-0.5
