obj,res,zero,up,down
$f_{1}-f_{2}$,-0.04396052641568126,0,0.5,-0.5
$f_{1}-f_{3}$,-0.2576070152284343,0,0.5,-0.5
$f_{1}-f_{4}$,-0.20733627822189973,0,0.5,-0.5
$f_{1}-f_{5}$,0.10960530475140587,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07372078570976427,0,0.5,-0.5
$f_{2}-f_{3}$,-0.205626365570224,0,0.5,-0.5
$f_{2}-f_{4}$,-0.28609551554192936,0,0.5,-0.5
$f_{2}-f_{5}$,-0.025459581828889688,0,0.5,-0.5
$f_{2}-f_{6}$,-0.07886431547747397,0,0.5,-0.5
$f_{3}-f_{4}$,0.300282526342468,0,0.5,-0.5
$f_{3}-f_{5}$,-0.30687824693381915,0,0.5,-0.5
$f_{3}-f_{6}$,-0.12101698345431545,0,0.5,-0.5
$f_{4}-f_{5}$,-0.3173628007229779,0,0.5,-0.5
$f_{4}-f_{6}$,-0.02450222111512964,0,0.5,-0.5
$f_{5}-f_{6}$,0.016233258248383786,0,0.5,-0.5
