obj,res,zero,up,down
$f_{1}-f_{2}$,-0.08657359291449072,0,0.5,-0.5
$f_{1}-f_{3}$,-0.19164364224608615,0,0.5,-0.5
$f_{1}-f_{4}$,-0.12244187473430852,0,0.5,-0.5
$f_{1}-f_{5}$,-0.01341673162132902,0,0.5,-0.5
$f_{1}-f_{6}$,-0.18820437519514863,0,0.5,-0.5
$f_{2}-f_{3}$,-0.4846963898714983,0,0.5,-0.5
$f_{2}-f_{4}$,-0.24391677115377292,0,0.5,-0.5
$f_{2}-f_{5}$,-0.5130371054541993,0,0.5,-0.5
$f_{2}-f_{6}$,-0.04649262403277083,0,0.5,-0.5
$f_{3}-f_{4}$,0.3327810206653545,0,0.5,-0.5
$f_{3}-f_{5}$,0.16629346128413156,0,0.5,-0.5
$f_{3}-f_{6}$,0.17364925145952384,0,0.5,-0.5
$f_{4}-f_{5}$,0.014513724105557284,0,0.5,-0.5
$f_{4}-f_{6}$,0.031249718742672374,0,0.5,-0.5
$f_{5}-f_{6}$,-0.046024696967144854,0,0.5,-0.5
