obj,res,zero,up,down
$f_{1}-f_{2}$,-0.11300672571687986,0,0.5,-0.5
$f_{1}-f_{3}$,0.017095518661297132,0,0.5,-0.5
$f_{1}-f_{4}$,0.032824815932036844,0,0.5,-0.5
$f_{1}-f_{5}$,-0.08310963895528048,0,0.5,-0.5
$f_{1}-f_{6}$,-0.09131798868244381,0,0.5,-0.5
$f_{2}-f_{3}$,-0.2666162611669211,0,0.5,-0.5
$f_{2}-f_{4}$,-0.12689237223666539,0,0.5,-0.5
$f_{2}-f_{5}$,-0.09990582661712871,0,0.5,-0.5
$f_{2}-f_{6}$,0.05919493461789989,0,0.5,-0.5
$f_{3}-f_{4}$,0.5194125050867359,0,0.5,-0.5
$f_{3}-f_{5}$,-0.38438385217978843,0,0.5,-0.5
$f_{3}-f_{6}$,0.0011630832942151816,0,0.5,-0.5
$f_{4}-f_{5}$,-0.6022019461198875,0,0.5,-0.5
$f_{4}-f_{6}$,0.03740357370459475,0,0.5,-0.5
$f_{5}-f_{6}$,-0.061475688145770986,0,0.5,-0.5
