obj,res,zero,up,down
$f_{1}-f_{2}$,-0.0918471707547612,0,0.5,-0.5
$f_{1}-f_{3}$,-0.24214515152761862,0,0.5,-0.5
$f_{1}-f_{4}$,-0.1749829735272467,0,0.5,-0.5
$f_{1}-f_{5}$,0.06656757508992195,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07877765702429296,0,0.5,-0.5
$f_{2}-f_{3}$,-0.28686899673969835,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2114451050983805,0,0.5,-0.5
$f_{2}-f_{5}$,-0.05728642186351356,0,0.5,-0.5
$f_{2}-f_{6}$,-0.02366992115007886,0,0.5,-0.5
$f_{3}-f_{4}$,0.2973625589169647,0,0.5,-0.5
$f_{3}-f_{5}$,-0.2792207688096724,0,0.5,-0.5
$f_{3}-f_{6}$,-0.12504831438082098,0,0.5,-0.5
$f_{4}-f_{5}$,-0.29314110688608663,0,0.5,-0.5
$f_{4}-f_{6}$,0.017054135223326373,0,0.5,-0.5
$f_{5}-f_{6}$,0.04541607507574366,0,0.5,-0.5
