obj,res,zero,up,down
$f_{1}-f_{2}$,0.09133558255060124,0,0.5,-0.5
$f_{1}-f_{3}$,-0.18559765688684352,0,0.5,-0.5
$f_{1}-f_{4}$,-0.10216686426490625,0,0.5,-0.5
$f_{1}-f_{5}$,-0.01102595411764395,0,0.5,-0.5
$f_{1}-f_{6}$,-0.041805503274103366,0,0.5,-0.5
$f_{2}-f_{3}$,-0.38406900036761543,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2355168461649733,0,0.5,-0.5
$f_{2}-f_{5}$,-0.005334499683027914,0,0.5,-0.5
$f_{2}-f_{6}$,-0.048552946793467035,0,0.5,-0.5
$f_{3}-f_{4}$,0.45459320804851616,0,0.5,-0.5
$f_{3}-f_{5}$,-0.2262329615161931,0,0.5,-0.5
$f_{3}-f_{6}$,-0.034611789827251514,0,0.5,-0.5
$f_{4}-f_{5}$,-0.41209180320741007,0,0.5,-0.5
$f_{4}-f_{6}$,-0.07811720689819893,0,0.5,-0.5
$f_{5}-f_{6}$,-0.022159126608049022,0,0.5,-0.5
