obj,res,zero,up,down
$f_{1}-f_{2}$,-0.049239555140064624,0,0.5,-0.5
$f_{1}-f_{3}$,-0.29837784932849365,0,0.5,-0.5
$f_{1}-f_{4}$,-0.18221774919359923,0,0.5,-0.5
$f_{1}-f_{5}$,-0.08112533795624968,0,0.5,-0.5
$f_{1}-f_{6}$,-0.09864597211843913,0,0.5,-0.5
$f_{2}-f_{3}$,-0.41664723968759737,0,0.5,-0.5
$f_{2}-f_{4}$,-0.2702785789316754,0,0.5,-0.5
$f_{2}-f_{5}$,-0.19568505434746758,0,0.5,-0.5
$f_{2}-f_{6}$,-0.081286069363415,0,0.5,-0.5
$f_{3}-f_{4}$,0.3749340103147519,0,0.5,-0.5
$f_{3}-f_{5}$,0.03194459241735854,0,0.5,-0.5
$f_{3}-f_{6}$,0.1427476004789817,0,0.5,-0.5
$f_{4}-f_{5}$,-0.1480535441452189,0,0.5,-0.5
$f_{4}-f_{6}$,0.06715590286720789,0,0.5,-0.5
$f_{5}-f_{6}$,-0.09587437881380319,0,0.5,-0.5
