obj,res,zero,up,down
$f_{1}-f_{2}$,0.055671590693099224,0,0.5,-0.5
$f_{1}-f_{3}$,-0.29836896234242855,0,0.5,-0.5
$f_{1}-f_{4}$,-0.26180527231834444,0,0.5,-0.5
$f_{1}-f_{5}$,-0.06574845771387361,0,0.5,-0.5
$f_{1}-f_{6}$,-0.12311848677196913,0,0.5,-0.5
$f_{2}-f_{3}$,-0.4520886433454088,0,0.5,-0.5
$f_{2}-f_{4}$,-0.26675505043435477,0,0.5,-0.5
$f_{2}-f_{5}$,-0.32762754995227744,0,0.5,-0.5
$f_{2}-f_{6}$,0.0635260460141522,0,0.5,-0.5
$f_{3}-f_{4}$,0.405405637061462,0,0.5,-0.5
$f_{3}-f_{5}$,-0.021654335104660194,0,0.5,-0.5
$f_{3}-f_{6}$,-0.021919742956780515,0,0.5,-0.5
$f_{4}-f_{5}$,-0.08778971717247719,0,0.5,-0.5
$f_{4}-f_{6}$,0.02187233817253299,0,0.5,-0.5
$f_{5}-f_{6}$,-0.03314619284981317,0,0.5,-0.5
