obj,res,zero,up,down
$f_{1}-f_{2}$,-0.12910774623821722,0,0.5,-0.5
$f_{1}-f_{3}$,-0.020235887699257448,0,0.5,-0.5
$f_{1}-f_{4}$,-0.0598377498852988,0,0.5,-0.5
$f_{1}-f_{5}$,0.06544064894086365,0,0.5,-0.5
$f_{1}-f_{6}$,-0.11970337887371883,0,0.5,-0.5
$f_{2}-f_{3}$,-0.42537286714720485,0,0.5,-0.5
$f_{2}-f_{4}$,-0.01147852517261645,0,0.5,-0.5
$f_{2}-f_{5}$,-0.46182575065659226,0,0.5,-0.5
$f_{2}-f_{6}$,0.07740917525905595,0,0.5,-0.5
$f_{3}-f_{4}$,0.1715236410559643,0,0.5,-0.5
$f_{3}-f_{5}$,-0.07950599014122091,0,0.5,-0.5
$f_{3}-f_{6}$,-0.13952892076345913,0,0.5,-0.5
$f_{4}-f_{5}$,-0.17711055945907278,0,0.5,-0.5
$f_{4}-f_{6}$,-0.018390599681178618,0,0.5,-0.5
$f_{5}-f_{6}$,0.0067642446706026975,0,0.5,-0.5
