obj,res,zero,up,down
$f_{1}-f_{2}$,-0.07947616869140955,0,0.5,-0.5
$f_{1}-f_{3}$,-0.22888916892185762,0,0.5,-0.5
$f_{1}-f_{4}$,-0.16698676225958722,0,0.5,-0.5
$f_{1}-f_{5}$,0.08525484284492643,0,0.5,-0.5
$f_{1}-f_{6}$,-0.07617282382942195,0,0.5,-0.5
$f_{2}-f_{3}$,-0.27967118300306104,0,0.5,-0.5
$f_{2}-f_{4}$,-0.28456520117775236,0,0.5,-0.5
$f_{2}-f_{5}$,-0.07570016670403577,0,0.5,-0.5
$f_{2}-f_{6}$,-0.06607312399088958,0,0.5,-0.5
$f_{3}-f_{4}$,0.41391730473039684,0,0.5,-0.5
$f_{3}-f_{5}$,-0.34277873451553265,0,0.5,-0.5
$f_{3}-f_{6}$,-0.06210906132241709,0,0.5,-0.5
$f_{4}-f_{5}$,-0.3275803997263163,0,0.5,-0.5
$f_{4}-f_{6}$,0.0015600006362420206,0,0.5,-0.5
$f_{5}-f_{6}$,-0.0011993034455680463,0,0.5,-0.5
