obj,res,zero,up,down
$f_{1}-f_{2}$,-0.0540893356708244,0,0.5,-0.5
$f_{1}-f_{3}$,-0.38883727463507584,0,0.5,-0.5
$f_{1}-f_{4}$,-0.21537267546818478,0,0.5,-0.5
$f_{1}-f_{5}$,-0.031045639808237317,0,0.5,-0.5
$f_{1}-f_{6}$,-0.06516598674676653,0,0.5,-0.5
$f_{2}-f_{3}$,-0.1602896529821848,0,0.5,-0.5
$f_{2}-f_{4}$,-0.18525471139682778,0,0.5,-0.5
$f_{2}-f_{5}$,0.005196549202247902,0,0.5,-0.5
$f_{2}-f_{6}$,-0.023086155213755517,0,0.5,-0.5
$f_{3}-f_{4}$,0.25358556708910335,0,0.5,-0.5
$f_{3}-f_{5}$,-0.1554951682603766,0,0.5,-0.5
$f_{3}-f_{6}$,-0.03133202237428418,0,0.5,-0.5
$f_{4}-f_{5}$,-0.39001597507313357,0,0.5,-0.5
$f_{4}-f_{6}$,0.028453376767093485,0,0.5,-0.5
$f_{5}-f_{6}$,-0.0012605353980780852,0,0.5,-0.5
